"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"vd_r1";"R_0805_2012Metric";1;"4.6k";;;
2;"vd_c2";"C_0805_2012Metric";1;"2.2uF";;;
3;"vd_c1";"C_0805_2012Metric";1;"0.01uF";;;
4;"reg_co1";"C_0805_2012Metric";1;"10uF";;;
5;"reg_ci1,motor_c1";"C_0805_2012Metric";2;"100uF";;;
6;"Regulator1";"TO-252-3_TabPin2";1;"LM1117DT-5.0";;;
7;"mix3,mix1";"R_0805_2012Metric";2;"1k";;;
8;"mix2";"R_0805_2012Metric";1;"1k'";;;
9;"ExtraTerminalBlock1,J3,J6,J2";"TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm";4;"Screw_Terminal_01x04";;;
10;"PTCFuse1";"R_1206_3216Metric";1;"1206L050";;;
11;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4001";;;
12;"Q3,Q1,Q2";"TO-92_Inline";3;"2N7000";;;
13;"MovingBumper_back1,MovingBumper_front1,Rehydration_front1,Rehydration_back1";"TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm";4;"Screw_Terminal_01x03";;;
14;"ESP32-S3";"ESP32_DevKitC_Header_Mount";1;"~";;;
15;"A2,A1";"Pololu_Breakout-16_15.2x20.3mm";2;"Pololu_Breakout_DRV8825";;;
16;"J1";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";1;"Screw_Terminal_01x02";;;
17;"J5";"TerminalBlock_MaiXu_MX126-5.0-06P_1x06_P5.00mm";1;"Screw_Terminal_01x06";;;
